Partido;Coalizao;Ano;flagCoalizao
PSB;Dilma II 1;2015;0
PSC;Sarney 2;1989;0
PSC;Collor 1;1990;0
PSC;Collor 2;1990;0
PSC;Collor 2;1991;0
PSC;Collor 3;1991;0
PSC;Collor 3;1992;0
PSC;Collor 4;1992;0
PSC;Itamar 1;1993;0
PSC;Itamar 2;1993;0
PSC;Itamar 3;1994;0
PSC;FHC I 1;1995;0
PSC;FHC I 1;1996;0
PSC;FHC I 2;1996;0
PSC;FHC I 2;1997;0
PSC;FHC II 1;1999;0
PSC;FHC II 1;2000;0
PSC;Lula I 1;2003;0
PSC;Lula I 1;2004;0
PSC;Lula I 2;2004;0
PSC;Lula I 5;2005;0
PSC;Lula I 3;2005;0
PSC;Lula I 4;2005;0
PSC;Lula I 5;2006;0
PSC;Lula II 1;2007;0
PSC;Lula II 2;2007;0
PSC;Lula II 2;2008;0
PSC;Lula II 2;2009;0
PSC;Lula II 3;2009;0
PSC;Lula II 3;2010;0
PSC;Dilma 1;2011;0
PSC;Dilma 1;2012;0
PSC;Dilma 2;2012;0
PSC;Dilma 2;2013;0
PSC;Dilma 3;2013;0
PSC;Dilma 3;2014;0
PSC;Dilma II 1;2015;0
PSC;Dilma II 2;2015;0
PSD;Sarney 2;1989;0
PSD;Collor 1;1990;0
PSD;Collor 2;1991;0
PSD;Collor 3;1991;0
PSD;Collor 4;1992;0
PSD;Itamar 1;1993;0
PSD;Itamar 2;1993;0
PSD;Itamar 3;1994;0
PSD;FHC I 1;1995;0
PSD;FHC I 1;1996;0
PSD;FHC I 2;1996;0
PSD;FHC I 2;1997;0
PSD;FHC I 2;1998;0
PSD;FHC II 1;1999;0
PSD;Dilma 1;2011;0
PSD;Dilma 1;2012;0
PSD;Dilma 2;2012;0
PSD;Dilma 2;2013;0
PSD;Dilma 3;2013;0
PSD;Dilma 3;2014;0
PSD;Dilma II 1;2015;1
PSD;Dilma II 2;2015;1
PSDB;Sarney 2;1989;0
PSDB;Collor 2;1990;0
PSDB;Collor 1;1990;0
PSDB;Collor 2;1991;0
PSDB;Collor 3;1991;0
PSDB;Collor 3;1992;0
PSDB;Collor 4;1992;0
PSDB;Itamar 1;1993;1
PSDB;Itamar 2;1993;1
PSDB;Itamar 3;1994;1
PSDB;FHC I 1;1995;1
PSDB;FHC I 1;1996;1
PSDB;FHC I 2;1996;1
PSDB;FHC I 2;1997;1
PSDB;FHC I 2;1998;1
PSDB;FHC II 1;1999;1
PSDB;FHC II 1;2000;1
PSDB;FHC II 1;2001;1
PSDB;FHC II 1;2002;1
PSDB;FHC II 2;2002;1
PSDB;Lula I 1;2003;0
PSDB;Lula I 1;2004;0
PSDB;Lula I 2;2004;0
PSDB;Lula I 3;2005;0
PSDB;Lula I 5;2005;0
PSDB;Lula I 4;2005;0
PSDB;Lula I 5;2006;0
PSDB;Lula II 2;2007;0
PSDB;Lula II 1;2007;0
PSDB;Lula II 2;2008;0
PSDB;Lula II 2;2009;0
PSDB;Lula II 3;2009;0
PSDB;Lula II 3;2010;0
PSDB;Dilma 1;2011;0
PSDB;Dilma 1;2012;0
PSDB;Dilma 2;2012;0
PSDB;Dilma 2;2013;0
PSDB;Dilma 3;2013;0
PSDB;Dilma 3;2014;0
PSDB;Dilma II 1;2015;0
PSDB;Dilma II 2;2015;0
PSDC;FHC II 1;2001;0
PSDC;FHC II 1;2002;0
PSDC;FHC II 2;2002;0
PSDC;Dilma 3;2014;0
PSDC;Dilma II 1;2015;0
PSDC;Dilma II 2;2015;0
PSL;FHC I 1;1995;0
PSL;FHC I 1;1996;0
PSL;FHC I 2;1996;0
PSL;FHC I 2;1997;0
PSL;FHC II 1;1999;0
PSL;FHC II 1;2000;0
PSL;FHC II 1;2001;0
PSL;FHC II 1;2002;0
PSL;FHC II 2;2002;0
PSL;Lula I 1;2003;0
PSL;Lula I 1;2004;0
PSL;Lula I 2;2004;0
PSL;Lula I 3;2005;0
PSL;Lula I 4;2005;0
PSL;Dilma 1;2011;0
PSL;Dilma 1;2012;0
PSL;Dilma 2;2012;0
PSL;Dilma 2;2013;0
PSL;Dilma II 2;2015;0
PSL;Dilma II 1;2015;0
PSOL;Lula I 5;2005;0
PSOL;Lula I 5;2006;0
PSOL;Lula II 2;2007;0
PSOL;Lula II 1;2007;0
PSOL;Lula II 2;2008;0
PSOL;Lula II 2;2009;0
PSOL;Lula II 3;2009;0
PSOL;Lula II 3;2010;0
PSOL;Dilma 1;2011;0
PSOL;Dilma 1;2012;0
PSOL;Dilma 2;2012;0
PSOL;Dilma 2;2013;0
PSOL;Dilma 3;2013;0
PSOL;Dilma 3;2014;0
PSOL;Dilma II 2;2015;0
PSOL;Dilma II 1;2015;0
